#
# ABINIT package : DOS file  
#
# nsppol = 2, nkpt = 1734, nband(1)=  22
# Tetrahedron method
# For identification : eigen(1:3)=  -3.090  -3.088  -1.747
#
# Fermi energy :       0.43796871
#
# The DOS (in electrons/Hartree/cell) and integrated DOS (in electrons/cell) are computed,
# at  8801 energies (in Hartree) covering the interval 
# between   -3.1000 and    1.3000 Hartree by steps of  0.00050 Hartree.
#
#                Spin-up DOS
# energy(Ha)     DOS  integrated DOS
   -3.10000     0.0000     0.0000
   -3.09950     0.0000     0.0000
   -3.09900     0.0001     0.0000
   -3.09850     0.0001     0.0000
   -3.09800     0.0001     0.0000
   -3.09750     0.0002     0.0000
   -3.09700     0.0003     0.0000
   -3.09650     0.0005     0.0000
   -3.09600     0.0006     0.0000
   -3.09550     0.0009     0.0000
   -3.09500     0.0012     0.0000
   -3.09450     0.0016     0.0000
   -3.09400     0.0021     0.0000
   -3.09350     0.0026     0.0000
   -3.09300     0.0033     0.0000
   -3.09250     0.0040     0.0000
   -3.09200     0.0048     0.0000
   -3.09150     0.0057     0.0000
   -3.09100     0.0066     0.0000
   -3.09050     0.0075     0.0000
   -3.09000     0.0083     0.0000
   -3.08950   167.1167     0.0431
   -3.08900   329.8490     0.1649
   -3.08850   624.0186     0.3935
   -3.08800  1691.9101     0.9209
   -3.08750  3446.7546     1.9540
   -3.08700     0.0102     2.0000
   -3.08650     0.0098     2.0000
   -3.08600     0.0093     2.0000
   -3.08550     0.0086     2.0000
   -3.08500     0.0078     2.0000
   -3.08450     0.0069     2.0000
   -3.08400     0.0061     2.0000
   -3.08350     0.0052     2.0000
   -3.08300     0.0043     2.0000
   -3.08250     0.0036     2.0000
   -3.08200     0.0029     2.0000
   -3.08150     0.0023     2.0000
   -3.08100     0.0018     2.0000
   -3.08050     0.0013     2.0000
   -3.08000     0.0010     2.0000
   -3.07950     0.0007     2.0000
   -3.07900     0.0005     2.0000
   -3.07850     0.0004     2.0000
   -3.07800     0.0002     2.0000
   -3.07750     0.0002     2.0000
   -3.07700     0.0001     2.0000
   -3.07650     0.0001     2.0000
   -3.07600     0.0000     2.0000
   -3.07550     0.0000     2.0000
   -3.07500     0.0000     2.0000
   -3.07450     0.0000     2.0000
   -3.07400     0.0000     2.0000
   -3.07350     0.0000     2.0000
   -3.07300     0.0000     2.0000
   -3.07250     0.0000     2.0000
   -3.07200     0.0000     2.0000
   -3.07150     0.0000     2.0000
   -3.07100     0.0000     2.0000
   -3.07050     0.0000     2.0000
   -3.07000     0.0000     2.0000
   -3.06950     0.0000     2.0000
   -3.06900     0.0000     2.0000
   -3.06850     0.0000     2.0000
   -3.06800     0.0000     2.0000
   -3.06750     0.0000     2.0000
   -3.06700     0.0000     2.0000
   -3.06650     0.0000     2.0000
   -3.06600     0.0000     2.0000
   -3.06550     0.0000     2.0000
   -3.06500     0.0000     2.0000
   -3.06450     0.0000     2.0000
   -3.06400     0.0000     2.0000
   -3.06350     0.0000     2.0000
   -3.06300     0.0000     2.0000
   -3.06250     0.0000     2.0000
   -3.06200     0.0000     2.0000
   -3.06150     0.0000     2.0000
   -3.06100     0.0000     2.0000
   -3.06050     0.0000     2.0000
   -3.06000     0.0000     2.0000
   -3.05950     0.0000     2.0000
   -3.05900     0.0000     2.0000
   -3.05850     0.0000     2.0000
   -3.05800     0.0000     2.0000
   -3.05750     0.0000     2.0000
   -3.05700     0.0000     2.0000
   -3.05650     0.0000     2.0000
   -3.05600     0.0000     2.0000
   -3.05550     0.0000     2.0000
   -3.05500     0.0000     2.0000
   -3.05450     0.0000     2.0000
   -3.05400     0.0000     2.0000
   -3.05350     0.0000     2.0000
   -3.05300     0.0000     2.0000
   -3.05250     0.0000     2.0000
   -3.05200     0.0000     2.0000
   -3.05150     0.0000     2.0000
   -3.05100     0.0000     2.0000
   -3.05050     0.0000     2.0000
   -3.05000     0.0000     2.0000
   -3.04950     0.0000     2.0000
   -3.04900     0.0000     2.0000
   -3.04850     0.0000     2.0000
   -3.04800     0.0000     2.0000
   -3.04750     0.0000     2.0000
   -3.04700     0.0000     2.0000
   -3.04650     0.0000     2.0000
   -3.04600     0.0000     2.0000
   -3.04550     0.0000     2.0000
   -3.04500     0.0000     2.0000
   -3.04450     0.0000     2.0000
   -3.04400     0.0000     2.0000
   -3.04350     0.0000     2.0000
   -3.04300     0.0000     2.0000
   -3.04250     0.0000     2.0000
   -3.04200     0.0000     2.0000
   -3.04150     0.0000     2.0000
   -3.04100     0.0000     2.0000
   -3.04050     0.0000     2.0000
   -3.04000     0.0000     2.0000
   -3.03950     0.0000     2.0000
   -3.03900     0.0000     2.0000
   -3.03850     0.0000     2.0000
   -3.03800     0.0000     2.0000
   -3.03750     0.0000     2.0000
   -3.03700     0.0000     2.0000
   -3.03650     0.0000     2.0000
   -3.03600     0.0000     2.0000
   -3.03550     0.0000     2.0000
   -3.03500     0.0000     2.0000
   -3.03450     0.0000     2.0000
   -3.03400     0.0000     2.0000
   -3.03350     0.0000     2.0000
   -3.03300     0.0000     2.0000
   -3.03250     0.0000     2.0000
   -3.03200     0.0000     2.0000
   -3.03150     0.0000     2.0000
   -3.03100     0.0000     2.0000
   -3.03050     0.0000     2.0000
   -3.03000     0.0000     2.0000
   -3.02950     0.0000     2.0000
   -3.02900     0.0000     2.0000
   -3.02850     0.0000     2.0000
   -3.02800     0.0000     2.0000
   -3.02750     0.0000     2.0000
   -3.02700     0.0000     2.0000
   -3.02650     0.0000     2.0000
   -3.02600     0.0000     2.0000
   -3.02550     0.0000     2.0000
   -3.02500     0.0000     2.0000
   -3.02450     0.0000     2.0000
   -3.02400     0.0000     2.0000
   -3.02350     0.0000     2.0000
   -3.02300     0.0000     2.0000
   -3.02250     0.0000     2.0000
   -3.02200     0.0000     2.0000
   -3.02150     0.0000     2.0000
   -3.02100     0.0000     2.0000
   -3.02050     0.0000     2.0000
   -3.02000     0.0000     2.0000
   -3.01950     0.0000     2.0000
   -3.01900     0.0000     2.0000
   -3.01850     0.0000     2.0000
   -3.01800     0.0000     2.0000
   -3.01750     0.0000     2.0000
