# material: cobalt 
# electron heat capacity , sum of majority and minority contributions (DFT calculation spin resolved) 
# temperature [K], heat capacity [J/(m^3K)] 
0001.67 4.694726e+02
0005.01 2.077022e+03
0008.35 2.732667e+03
0011.69 3.714713e+03
0015.03 4.716184e+03
0018.36 5.718865e+03
0021.70 6.797785e+03
0025.04 7.826964e+03
0028.38 8.842348e+03
0031.72 9.954061e+03
0035.06 1.093787e+04
0038.40 1.201388e+04
0041.74 1.308566e+04
0045.08 1.414691e+04
0048.41 1.514409e+04
0051.75 1.617197e+04
0055.09 1.726810e+04
0058.43 1.833822e+04
0061.77 1.935648e+04
0065.11 2.039522e+04
0068.45 2.144073e+04
0071.79 2.254930e+04
0075.13 2.353617e+04
0078.46 2.465704e+04
0081.80 2.562777e+04
0085.14 2.676084e+04
0088.48 2.780235e+04
0091.82 2.883974e+04
0095.16 2.988824e+04
0098.50 3.092484e+04
0101.84 3.202234e+04
0105.18 3.307408e+04
0108.51 3.414219e+04
0111.85 3.517514e+04
0115.19 3.622431e+04
0118.53 3.731021e+04
0121.87 3.831506e+04
0125.21 3.943114e+04
0128.55 4.049806e+04
0131.89 4.155563e+04
0135.23 4.257118e+04
0138.56 4.366850e+04
0141.90 4.474746e+04
0145.24 4.577669e+04
0148.58 4.689585e+04
0151.92 4.789135e+04
0155.26 4.898885e+04
0158.60 5.004608e+04
0161.94 5.111865e+04
0165.28 5.222086e+04
0168.61 5.325270e+04
0171.95 5.432888e+04
0175.29 5.542054e+04
0178.63 5.647202e+04
0181.97 5.754017e+04
0185.31 5.862583e+04
0188.65 5.970290e+04
0191.99 6.077029e+04
0195.33 6.181669e+04
0198.66 6.295585e+04
0202.00 6.400576e+04
0205.34 6.506569e+04
0208.68 6.609544e+04
0212.02 6.725283e+04
0215.36 6.828300e+04
0218.70 6.942935e+04
0222.04 7.042445e+04
0225.38 7.150975e+04
0228.71 7.267434e+04
0232.05 7.370501e+04
0235.39 7.480359e+04
0238.73 7.582978e+04
0242.07 7.693965e+04
0245.41 7.806584e+04
0248.75 7.909512e+04
0252.09 8.018554e+04
0255.43 8.133862e+04
0258.76 8.232818e+04
0262.10 8.345427e+04
0265.44 8.450522e+04
0268.78 8.560983e+04
0272.12 8.674212e+04
0275.46 8.777393e+04
0278.80 8.887773e+04
0282.14 8.996904e+04
0285.48 9.102163e+04
0288.81 9.213496e+04
0292.15 9.323895e+04
0295.49 9.427802e+04
0298.83 9.540988e+04
0302.17 9.652052e+04
0305.51 9.752677e+04
0308.85 9.865561e+04
0312.19 9.973805e+04
0315.53 1.008167e+05
0318.86 1.019068e+05
0322.20 1.030234e+05
0325.54 1.040666e+05
0328.88 1.051939e+05
0332.22 1.062487e+05
0335.56 1.073462e+05
0338.90 1.084852e+05
0342.24 1.095396e+05
0345.58 1.105646e+05
0348.91 1.117046e+05
0352.25 1.127880e+05
0355.59 1.139283e+05
0358.93 1.149554e+05
0362.27 1.159973e+05
0365.61 1.171967e+05
0368.95 1.181968e+05
0372.29 1.193396e+05
0375.63 1.204402e+05
0378.96 1.214691e+05
0382.30 1.225982e+05
0385.64 1.236552e+05
0388.98 1.247972e+05
0392.32 1.258958e+05
0395.66 1.269069e+05
0399.00 1.280313e+05
0402.34 1.291535e+05
0405.68 1.302017e+05
0409.02 1.313621e+05
0412.35 1.323762e+05
0415.69 1.335293e+05
0419.03 1.345643e+05
0422.37 1.356806e+05
0425.71 1.368062e+05
0429.05 1.378545e+05
0432.39 1.389971e+05
0435.73 1.400614e+05
0439.07 1.411474e+05
0442.40 1.422400e+05
0445.74 1.433956e+05
0449.08 1.444282e+05
0452.42 1.455371e+05
0455.76 1.466928e+05
0459.10 1.477527e+05
0462.44 1.488581e+05
0465.78 1.498943e+05
0469.12 1.510901e+05
0472.45 1.521438e+05
0475.79 1.532551e+05
0479.13 1.542947e+05
0482.47 1.555060e+05
0485.81 1.565289e+05
0489.15 1.576651e+05
0492.49 1.587695e+05
0495.83 1.598852e+05
0499.17 1.609823e+05
0502.50 1.621040e+05
0505.84 1.631912e+05
0509.18 1.643589e+05
0512.52 1.653911e+05
0515.86 1.665304e+05
0519.20 1.676765e+05
0522.54 1.687570e+05
0525.88 1.698709e+05
0529.22 1.710189e+05
0532.55 1.721127e+05
0535.89 1.733111e+05
0539.23 1.743252e+05
0542.57 1.754705e+05
0545.91 1.766322e+05
0549.25 1.776941e+05
0552.59 1.788855e+05
0555.93 1.799905e+05
0559.27 1.810948e+05
0562.60 1.822405e+05
0565.94 1.833843e+05
0569.28 1.845257e+05
0572.62 1.856205e+05
0575.96 1.867980e+05
0579.30 1.878705e+05
0582.64 1.890965e+05
0585.98 1.902017e+05
0589.32 1.913012e+05
0592.65 1.924808e+05
0595.99 1.935952e+05
0599.33 1.948034e+05
0602.67 1.959026e+05
0606.01 1.970653e+05
0609.35 1.982764e+05
0612.69 1.993771e+05
0616.03 2.004970e+05
0619.37 2.017066e+05
0622.70 2.028335e+05
0626.04 2.040210e+05
0629.38 2.051820e+05
0632.72 2.063163e+05
0636.06 2.075098e+05
0639.40 2.086755e+05
0642.74 2.098131e+05
0646.08 2.110232e+05
0649.42 2.121897e+05
0652.75 2.133987e+05
0656.09 2.145496e+05
0659.43 2.157130e+05
0662.77 2.169324e+05
0666.11 2.180632e+05
0669.45 2.193212e+05
0672.79 2.204753e+05
0676.13 2.216693e+05
0679.47 2.228598e+05
0682.80 2.240748e+05
0686.14 2.252857e+05
0689.48 2.264630e+05
0692.82 2.276783e+05
0696.16 2.288885e+05
0699.50 2.300640e+05
0702.84 2.312912e+05
0706.18 2.325552e+05
0709.52 2.337407e+05
0712.85 2.349478e+05
0716.19 2.361624e+05
0719.53 2.373981e+05
0722.87 2.386261e+05
0726.21 2.398893e+05
0729.55 2.410575e+05
0732.89 2.423471e+05
0736.23 2.435412e+05
0739.57 2.448562e+05
0742.90 2.460753e+05
0746.24 2.472702e+05
0749.58 2.485708e+05
0752.92 2.497893e+05
0756.26 2.510553e+05
0759.60 2.523686e+05
0762.94 2.535846e+05
0766.28 2.548475e+05
0769.62 2.561571e+05
0772.95 2.573687e+05
0776.29 2.586990e+05
0779.63 2.599455e+05
0782.97 2.612381e+05
0786.31 2.625042e+05
0789.65 2.638160e+05
0792.99 2.651012e+05
0796.33 2.663740e+05
0799.67 2.676921e+05
0803.01 2.689976e+05
0806.34 2.702612e+05
0809.68 2.716568e+05
0813.02 2.728946e+05
0816.36 2.742349e+05
0819.70 2.755043e+05
0823.04 2.768759e+05
0826.38 2.782489e+05
0829.72 2.795067e+05
0833.06 2.808233e+05
0836.39 2.821988e+05
0839.73 2.835460e+05
0843.07 2.848941e+05
0846.41 2.861844e+05
0849.75 2.875626e+05
0853.09 2.889701e+05
0856.43 2.903057e+05
0859.77 2.915981e+05
0863.11 2.930507e+05
0866.44 2.943874e+05
0869.78 2.957101e+05
0873.12 2.971637e+05
0876.46 2.985160e+05
0879.80 2.998834e+05
0883.14 3.012654e+05
0886.48 3.027350e+05
0889.82 3.040308e+05
0893.16 3.055302e+05
0896.49 3.068704e+05
0899.83 3.082545e+05
0903.17 3.097118e+05
0906.51 3.111552e+05
0909.85 3.124973e+05
0913.19 3.139856e+05
0916.53 3.154600e+05
0919.87 3.167606e+05
0923.21 3.182803e+05
0926.54 3.197136e+05
0929.88 3.211916e+05
0933.22 3.226125e+05
0936.56 3.240782e+05
0939.90 3.255160e+05
0943.24 3.269845e+05
0946.58 3.284689e+05
0949.92 3.298967e+05
0953.26 3.313991e+05
0956.59 3.328596e+05
0959.93 3.343949e+05
0963.27 3.358742e+05
0966.61 3.372972e+05
0969.95 3.388978e+05
0973.29 3.403405e+05
0976.63 3.418296e+05
0979.97 3.433945e+05
0983.31 3.448750e+05
0986.64 3.464316e+05
0989.98 3.478894e+05
0993.32 3.494385e+05
0996.66 3.510496e+05
1000.00 3.525042e+05
1003.34 3.540942e+05
1006.68 3.556157e+05
1010.02 3.571271e+05
1013.36 3.587893e+05
1016.69 3.602958e+05
1020.03 3.617930e+05
1023.37 3.634416e+05
1026.71 3.650230e+05
1030.05 3.665956e+05
1033.39 3.681597e+05
1036.73 3.697303e+05
1040.07 3.713660e+05
1043.41 3.729501e+05
1046.74 3.744974e+05
1050.08 3.761400e+05
1053.42 3.777904e+05
1056.76 3.793462e+05
1060.10 3.810713e+05
1063.44 3.825708e+05
1066.78 3.842839e+05
1070.12 3.859331e+05
1073.46 3.875038e+05
1076.79 3.891721e+05
1080.13 3.908211e+05
1083.47 3.924805e+05
1086.81 3.941505e+05
1090.15 3.958316e+05
1093.49 3.974064e+05
1096.83 3.991838e+05
1100.17 4.008557e+05
1103.51 4.024665e+05
1106.84 4.041633e+05
1110.18 4.059465e+05
1113.52 4.075816e+05
1116.86 4.092155e+05
1120.20 4.110252e+05
1123.54 4.126729e+05
1126.88 4.144236e+05
1130.22 4.161599e+05
1133.56 4.178382e+05
1136.89 4.196060e+05
1140.23 4.213165e+05
1143.57 4.230141e+05
1146.91 4.248171e+05
1150.25 4.265344e+05
1153.59 4.283579e+05
1156.93 4.300376e+05
1160.27 4.317799e+05
1163.61 4.336446e+05
1166.94 4.353518e+05
1170.28 4.371524e+05
1173.62 4.388848e+05
1176.96 4.407116e+05
1180.30 4.424709e+05
1183.64 4.443106e+05
1186.98 4.460249e+05
1190.32 4.479089e+05
1193.66 4.497123e+05
1196.99 4.514800e+05
1200.33 4.533154e+05
1203.67 4.551749e+05
1207.01 4.569851e+05
1210.35 4.587906e+05
1213.69 4.606214e+05
1217.03 4.624633e+05
1220.37 4.643315e+05
1223.71 4.661376e+05
1227.05 4.680449e+05
1230.38 4.698613e+05
1233.72 4.717356e+05
1237.06 4.735938e+05
1240.40 4.754959e+05
1243.74 4.773237e+05
1247.08 4.792556e+05
1250.42 4.811289e+05
1253.76 4.830033e+05
1257.10 4.848500e+05
1260.43 4.868617e+05
1263.77 4.886386e+05
1267.11 4.906265e+05
1270.45 4.925287e+05
1273.79 4.943755e+05
1277.13 4.963458e+05
1280.47 4.982316e+05
1283.81 5.002418e+05
1287.15 5.020943e+05
1290.48 5.040572e+05
1293.82 5.059676e+05
1297.16 5.079593e+05
