# material: cobalt 
# electron-phonon coupling parameter G_ep, sum of majority and minority contributions (DFT calculation spin resolved) 
# temperature [K], g_ep [W/(m^3K)] 
0000.00 1.011924e+18
0003.34 1.023519e+18
0006.68 1.035419e+18
0010.02 1.047601e+18
0013.36 1.060070e+18
0016.69 1.072832e+18
0020.03 1.085883e+18
0023.37 1.099205e+18
0026.71 1.112768e+18
0030.05 1.126524e+18
0033.39 1.140414e+18
0036.73 1.154376e+18
0040.07 1.168340e+18
0043.41 1.182243e+18
0046.74 1.196023e+18
0050.08 1.209625e+18
0053.42 1.223003e+18
0056.76 1.236118e+18
0060.10 1.248936e+18
0063.44 1.261435e+18
0066.78 1.273595e+18
0070.12 1.285404e+18
0073.46 1.296855e+18
0076.79 1.307945e+18
0080.13 1.318674e+18
0083.47 1.329046e+18
0086.81 1.339066e+18
0090.15 1.348741e+18
0093.49 1.358080e+18
0096.83 1.367092e+18
0100.17 1.375788e+18
0103.51 1.384180e+18
0106.84 1.392277e+18
0110.18 1.400092e+18
0113.52 1.407636e+18
0116.86 1.414919e+18
0120.20 1.421952e+18
0123.54 1.428747e+18
0126.88 1.435314e+18
0130.22 1.441662e+18
0133.56 1.447802e+18
0136.89 1.453742e+18
0140.23 1.459491e+18
0143.57 1.465059e+18
0146.91 1.470453e+18
0150.25 1.475681e+18
0153.59 1.480751e+18
0156.93 1.485669e+18
0160.27 1.490442e+18
0163.61 1.495078e+18
0166.94 1.499581e+18
0170.28 1.503958e+18
0173.62 1.508214e+18
0176.96 1.512355e+18
0180.30 1.516385e+18
0183.64 1.520310e+18
0186.98 1.524133e+18
0190.32 1.527860e+18
0193.66 1.531493e+18
0196.99 1.535037e+18
0200.33 1.538496e+18
0203.67 1.541873e+18
0207.01 1.545171e+18
0210.35 1.548394e+18
0213.69 1.551544e+18
0217.03 1.554624e+18
0220.37 1.557638e+18
0223.71 1.560586e+18
0227.05 1.563473e+18
0230.38 1.566300e+18
0233.72 1.569069e+18
0237.06 1.571783e+18
0240.40 1.574443e+18
0243.74 1.577052e+18
0247.08 1.579611e+18
0250.42 1.582121e+18
0253.76 1.584585e+18
0257.10 1.587004e+18
0260.43 1.589380e+18
0263.77 1.591714e+18
0267.11 1.594006e+18
0270.45 1.596260e+18
0273.79 1.598475e+18
0277.13 1.600653e+18
0280.47 1.602795e+18
0283.81 1.604902e+18
0287.15 1.606975e+18
0290.48 1.609015e+18
0293.82 1.611024e+18
0297.16 1.613001e+18
0300.50 1.614948e+18
0303.84 1.616865e+18
0307.18 1.618754e+18
0310.52 1.620615e+18
0313.86 1.622449e+18
0317.20 1.624257e+18
0320.53 1.626038e+18
0323.87 1.627795e+18
0327.21 1.629527e+18
0330.55 1.631235e+18
0333.89 1.632920e+18
0337.23 1.634581e+18
0340.57 1.636221e+18
0343.91 1.637839e+18
0347.25 1.639435e+18
0350.58 1.641011e+18
0353.92 1.642566e+18
0357.26 1.644101e+18
0360.60 1.645617e+18
0363.94 1.647114e+18
0367.28 1.648592e+18
0370.62 1.650052e+18
0373.96 1.651494e+18
0377.30 1.652919e+18
0380.63 1.654327e+18
0383.97 1.655717e+18
0387.31 1.657091e+18
0390.65 1.658450e+18
0393.99 1.659792e+18
0397.33 1.661119e+18
0400.67 1.662430e+18
0404.01 1.663727e+18
0407.35 1.665010e+18
0410.68 1.666277e+18
0414.02 1.667531e+18
0417.36 1.668772e+18
0420.70 1.669998e+18
0424.04 1.671212e+18
0427.38 1.672413e+18
0430.72 1.673600e+18
0434.06 1.674776e+18
0437.40 1.675939e+18
0440.73 1.677090e+18
0444.07 1.678230e+18
0447.41 1.679358e+18
0450.75 1.680475e+18
0454.09 1.681580e+18
0457.43 1.682675e+18
0460.77 1.683760e+18
0464.11 1.684833e+18
0467.45 1.685897e+18
0470.78 1.686951e+18
0474.12 1.687994e+18
0477.46 1.689029e+18
0480.80 1.690053e+18
0484.14 1.691069e+18
0487.48 1.692076e+18
0490.82 1.693073e+18
0494.16 1.694062e+18
0497.50 1.695043e+18
0500.83 1.696015e+18
0504.17 1.696980e+18
0507.51 1.697936e+18
0510.85 1.698884e+18
0514.19 1.699825e+18
0517.53 1.700759e+18
0520.87 1.701685e+18
0524.21 1.702604e+18
0527.55 1.703516e+18
0530.88 1.704421e+18
0534.22 1.705317e+18
0537.56 1.706207e+18
0540.90 1.707090e+18
0544.24 1.707967e+18
0547.58 1.708838e+18
0550.92 1.709704e+18
0554.26 1.710563e+18
0557.60 1.711417e+18
0560.93 1.712266e+18
0564.27 1.713110e+18
0567.61 1.713948e+18
0570.95 1.714781e+18
0574.29 1.715610e+18
0577.63 1.716433e+18
0580.97 1.717253e+18
0584.31 1.718067e+18
0587.65 1.718878e+18
0590.98 1.719684e+18
0594.32 1.720487e+18
0597.66 1.721285e+18
0601.00 1.722080e+18
0604.34 1.722871e+18
0607.68 1.723658e+18
0611.02 1.724443e+18
0614.36 1.725224e+18
0617.70 1.726001e+18
0621.04 1.726776e+18
0624.37 1.727548e+18
0627.71 1.728317e+18
0631.05 1.729083e+18
0634.39 1.729847e+18
0637.73 1.730609e+18
0641.07 1.731368e+18
0644.41 1.732125e+18
0647.75 1.732880e+18
0651.09 1.733632e+18
0654.42 1.734383e+18
0657.76 1.735133e+18
0661.10 1.735880e+18
0664.44 1.736626e+18
0667.78 1.737371e+18
0671.12 1.738114e+18
0674.46 1.738856e+18
0677.80 1.739597e+18
0681.14 1.740337e+18
0684.47 1.741076e+18
0687.81 1.741814e+18
0691.15 1.742552e+18
0694.49 1.743288e+18
0697.83 1.744025e+18
0701.17 1.744760e+18
0704.51 1.745496e+18
0707.85 1.746231e+18
0711.19 1.746966e+18
0714.52 1.747701e+18
0717.86 1.748436e+18
0721.20 1.749171e+18
0724.54 1.749906e+18
0727.88 1.750642e+18
0731.22 1.751378e+18
0734.56 1.752114e+18
0737.90 1.752851e+18
0741.24 1.753588e+18
0744.57 1.754326e+18
0747.91 1.755065e+18
0751.25 1.755805e+18
0754.59 1.756546e+18
0757.93 1.757288e+18
0761.27 1.758031e+18
0764.61 1.758775e+18
0767.95 1.759520e+18
0771.29 1.760267e+18
0774.62 1.761015e+18
0777.96 1.761765e+18
0781.30 1.762516e+18
0784.64 1.763269e+18
0787.98 1.764023e+18
0791.32 1.764779e+18
0794.66 1.765537e+18
0798.00 1.766297e+18
0801.34 1.767059e+18
0804.67 1.767823e+18
0808.01 1.768589e+18
0811.35 1.769358e+18
0814.69 1.770128e+18
0818.03 1.770901e+18
0821.37 1.771676e+18
0824.71 1.772454e+18
0828.05 1.773234e+18
0831.39 1.774017e+18
0834.72 1.774802e+18
0838.06 1.775590e+18
0841.40 1.776381e+18
0844.74 1.777174e+18
0848.08 1.777971e+18
0851.42 1.778770e+18
0854.76 1.779572e+18
0858.10 1.780377e+18
0861.44 1.781186e+18
0864.77 1.781997e+18
0868.11 1.782812e+18
0871.45 1.783630e+18
0874.79 1.784451e+18
0878.13 1.785276e+18
0881.47 1.786104e+18
0884.81 1.786935e+18
0888.15 1.787770e+18
0891.49 1.788608e+18
0894.82 1.789450e+18
0898.16 1.790296e+18
0901.50 1.791146e+18
0904.84 1.791999e+18
0908.18 1.792856e+18
0911.52 1.793716e+18
0914.86 1.794581e+18
0918.20 1.795449e+18
0921.54 1.796322e+18
0924.87 1.797198e+18
0928.21 1.798079e+18
0931.55 1.798963e+18
0934.89 1.799852e+18
0938.23 1.800745e+18
0941.57 1.801642e+18
0944.91 1.802543e+18
0948.25 1.803449e+18
0951.59 1.804359e+18
0954.92 1.805273e+18
0958.26 1.806192e+18
0961.60 1.807115e+18
0964.94 1.808043e+18
0968.28 1.808975e+18
0971.62 1.809911e+18
0974.96 1.810853e+18
0978.30 1.811799e+18
0981.64 1.812749e+18
0984.97 1.813704e+18
0988.31 1.814664e+18
0991.65 1.815629e+18
0994.99 1.816598e+18
0998.33 1.817572e+18
1001.67 1.818551e+18
1005.01 1.819535e+18
1008.35 1.820524e+18
1011.69 1.821517e+18
1015.03 1.822516e+18
1018.36 1.823520e+18
1021.70 1.824528e+18
1025.04 1.825542e+18
1028.38 1.826560e+18
1031.72 1.827584e+18
1035.06 1.828613e+18
1038.40 1.829647e+18
1041.74 1.830686e+18
1045.08 1.831730e+18
1048.41 1.832780e+18
1051.75 1.833835e+18
1055.09 1.834895e+18
1058.43 1.835960e+18
1061.77 1.837030e+18
1065.11 1.838106e+18
1068.45 1.839187e+18
1071.79 1.840274e+18
1075.13 1.841366e+18
1078.46 1.842463e+18
1081.80 1.843566e+18
1085.14 1.844674e+18
1088.48 1.845787e+18
1091.82 1.846906e+18
1095.16 1.848031e+18
