# material: cobalt 
# phonon heat capacity (DFT calculation spin resolved) 
# temperature [K], heat capacity [J/(m^3K)] 
0001.67 3.672423e+01
0005.01 3.982463e+02
0008.35 1.645672e+03
0011.69 4.411086e+03
0015.03 9.629844e+03
0018.36 1.893940e+04
0021.70 3.476709e+04
0025.04 5.977735e+04
0028.38 9.610418e+04
0031.72 1.448880e+05
0035.06 2.062112e+05
0038.40 2.792817e+05
0041.74 3.627042e+05
0045.08 4.547421e+05
0048.41 5.535305e+05
0051.75 6.572311e+05
0055.09 7.641329e+05
0058.43 8.727107e+05
0061.77 9.816515e+05
0065.11 1.089859e+06
0068.45 1.196443e+06
0071.79 1.300703e+06
0075.13 1.402104e+06
0078.46 1.500255e+06
0081.80 1.594885e+06
0085.14 1.685823e+06
0088.48 1.772977e+06
0091.82 1.856322e+06
0095.16 1.935881e+06
0098.50 2.011717e+06
0101.84 2.083921e+06
0105.18 2.152607e+06
0108.51 2.217902e+06
0111.85 2.279943e+06
0115.19 2.338872e+06
0118.53 2.394834e+06
0121.87 2.447974e+06
0125.21 2.498435e+06
0128.55 2.546356e+06
0131.89 2.591872e+06
0135.23 2.635114e+06
0138.56 2.676207e+06
0141.90 2.715270e+06
0145.24 2.752416e+06
0148.58 2.787752e+06
0151.92 2.821381e+06
0155.26 2.853398e+06
0158.60 2.883895e+06
0161.94 2.912956e+06
0165.28 2.940662e+06
0168.61 2.967089e+06
0171.95 2.992308e+06
0175.29 3.016385e+06
0178.63 3.039384e+06
0181.97 3.061363e+06
0185.31 3.082378e+06
0188.65 3.102481e+06
0191.99 3.121721e+06
0195.33 3.140143e+06
0198.66 3.157791e+06
0202.00 3.174705e+06
0205.34 3.190924e+06
0208.68 3.206482e+06
0212.02 3.221414e+06
0215.36 3.235751e+06
0218.70 3.249523e+06
0222.04 3.262759e+06
0225.38 3.275484e+06
0228.71 3.287724e+06
0232.05 3.299501e+06
0235.39 3.310839e+06
0238.73 3.321757e+06
