# material: iron 
# electron heat capacity , sum of majority and minority contributions (DFT calculation spin resolved) 
# temperature [K], heat capacity [J/(m^3K)] 
0001.67 5.269673e+02
0005.01 2.381765e+03
0008.35 3.231662e+03
0011.69 4.195395e+03
0015.03 5.418146e+03
0018.36 6.627020e+03
0021.70 7.882252e+03
0025.04 9.001987e+03
0028.38 1.021604e+04
0031.72 1.140254e+04
0035.06 1.268305e+04
0038.40 1.375034e+04
0041.74 1.503951e+04
0045.08 1.620219e+04
0048.41 1.744558e+04
0051.75 1.857710e+04
0055.09 1.980498e+04
0058.43 2.101537e+04
0061.77 2.221180e+04
0065.11 2.338872e+04
0068.45 2.457335e+04
0071.79 2.577760e+04
0075.13 2.692965e+04
0078.46 2.813460e+04
0081.80 2.931850e+04
0085.14 3.051266e+04
0088.48 3.172845e+04
0091.82 3.285079e+04
0095.16 3.403317e+04
0098.50 3.522420e+04
0101.84 3.635360e+04
0105.18 3.753883e+04
0108.51 3.864091e+04
0111.85 3.983826e+04
0115.19 4.094710e+04
0118.53 4.210207e+04
0121.87 4.328178e+04
0125.21 4.438944e+04
0128.55 4.545972e+04
0131.89 4.666204e+04
0135.23 4.779837e+04
0138.56 4.885504e+04
0141.90 4.997700e+04
0145.24 5.104701e+04
0148.58 5.220984e+04
0151.92 5.334944e+04
0155.26 5.434937e+04
0158.60 5.551147e+04
0161.94 5.658885e+04
0165.28 5.770031e+04
0168.61 5.878175e+04
0171.95 5.984733e+04
0175.29 6.091086e+04
0178.63 6.203877e+04
0181.97 6.311423e+04
0185.31 6.422934e+04
0188.65 6.526755e+04
0191.99 6.632074e+04
0195.33 6.742840e+04
0198.66 6.855212e+04
0202.00 6.954978e+04
0205.34 7.069435e+04
0208.68 7.176611e+04
0212.02 7.280451e+04
0215.36 7.384924e+04
0218.70 7.504302e+04
0222.04 7.603747e+04
0225.38 7.710450e+04
0228.71 7.825838e+04
0232.05 7.927959e+04
0235.39 8.036281e+04
0238.73 8.144429e+04
0242.07 8.253771e+04
0245.41 8.357813e+04
0248.75 8.463298e+04
0252.09 8.581605e+04
0255.43 8.680792e+04
0258.76 8.795458e+04
0262.10 8.904023e+04
0265.44 9.005018e+04
0268.78 9.120359e+04
0272.12 9.225686e+04
0275.46 9.335000e+04
0278.80 9.436883e+04
0282.14 9.550288e+04
0285.48 9.658765e+04
0288.81 9.770914e+04
0292.15 9.877942e+04
0295.49 9.983395e+04
0298.83 1.009605e+05
0302.17 1.019419e+05
0305.51 1.030939e+05
0308.85 1.041727e+05
0312.19 1.052650e+05
0315.53 1.063813e+05
0318.86 1.074029e+05
0322.20 1.085446e+05
0325.54 1.095356e+05
0328.88 1.107148e+05
0332.22 1.117355e+05
0335.56 1.127847e+05
0338.90 1.138977e+05
0342.24 1.150243e+05
0345.58 1.160323e+05
0348.91 1.171451e+05
0352.25 1.181768e+05
0355.59 1.193065e+05
0358.93 1.203642e+05
0362.27 1.213839e+05
0365.61 1.224950e+05
0368.95 1.235540e+05
0372.29 1.245942e+05
0375.63 1.257169e+05
0378.96 1.267781e+05
0382.30 1.278104e+05
0385.64 1.288666e+05
0388.98 1.299513e+05
0392.32 1.309678e+05
0395.66 1.320220e+05
0399.00 1.331454e+05
0402.34 1.341589e+05
0405.68 1.352220e+05
0409.02 1.362647e+05
0412.35 1.372821e+05
0415.69 1.383871e+05
0419.03 1.393254e+05
0422.37 1.404499e+05
0425.71 1.414682e+05
0429.05 1.425765e+05
0432.39 1.434828e+05
0435.73 1.446580e+05
0439.07 1.456080e+05
0442.40 1.466106e+05
0445.74 1.476851e+05
0449.08 1.486967e+05
0452.42 1.497278e+05
0455.76 1.506990e+05
0459.10 1.518205e+05
0462.44 1.527563e+05
0465.78 1.538441e+05
0469.12 1.547484e+05
0472.45 1.558621e+05
0475.79 1.568554e+05
0479.13 1.578411e+05
0482.47 1.588642e+05
0485.81 1.598972e+05
0489.15 1.607953e+05
0492.49 1.618766e+05
0495.83 1.628517e+05
0499.17 1.638812e+05
0502.50 1.648331e+05
0505.84 1.658956e+05
0509.18 1.668396e+05
0512.52 1.678064e+05
0515.86 1.687980e+05
0519.20 1.698120e+05
0522.54 1.707631e+05
0525.88 1.717658e+05
0529.22 1.727616e+05
0532.55 1.736932e+05
0535.89 1.747317e+05
0539.23 1.756333e+05
0542.57 1.766404e+05
0545.91 1.775810e+05
0549.25 1.786541e+05
0552.59 1.795169e+05
0555.93 1.805246e+05
0559.27 1.814206e+05
0562.60 1.824460e+05
0565.94 1.834714e+05
0569.28 1.842833e+05
0572.62 1.853636e+05
0575.96 1.862579e+05
0579.30 1.872193e+05
0582.64 1.882049e+05
0585.98 1.890728e+05
0589.32 1.901333e+05
0592.65 1.909749e+05
0595.99 1.920068e+05
0599.33 1.928886e+05
0602.67 1.938883e+05
0606.01 1.948352e+05
0609.35 1.957287e+05
0612.69 1.967077e+05
0616.03 1.975904e+05
0619.37 1.985273e+05
0622.70 1.995351e+05
0626.04 2.004148e+05
0629.38 2.014148e+05
0632.72 2.022739e+05
0636.06 2.032109e+05
0639.40 2.041847e+05
0642.74 2.050656e+05
0646.08 2.060402e+05
0649.42 2.068905e+05
0652.75 2.079018e+05
0656.09 2.088163e+05
0659.43 2.097218e+05
0662.77 2.106274e+05
0666.11 2.115320e+05
0669.45 2.125235e+05
0672.79 2.134133e+05
0676.13 2.143584e+05
0679.47 2.152297e+05
0682.80 2.161546e+05
0686.14 2.170723e+05
0689.48 2.180416e+05
0692.82 2.188647e+05
0696.16 2.198745e+05
0699.50 2.207364e+05
0702.84 2.216762e+05
0706.18 2.225348e+05
0709.52 2.234777e+05
0712.85 2.244356e+05
0716.19 2.252636e+05
0719.53 2.262489e+05
0722.87 2.271330e+05
0726.21 2.280364e+05
0729.55 2.289804e+05
0732.89 2.298287e+05
0736.23 2.307538e+05
0739.57 2.317170e+05
0742.90 2.325521e+05
0746.24 2.334915e+05
0749.58 2.344362e+05
0752.92 2.352809e+05
0756.26 2.361969e+05
0759.60 2.371766e+05
0762.94 2.379933e+05
0766.28 2.390068e+05
0769.62 2.398192e+05
0772.95 2.407290e+05
0776.29 2.417047e+05
0779.63 2.425691e+05
0782.97 2.434369e+05
0786.31 2.443929e+05
0789.65 2.453141e+05
0792.99 2.461888e+05
0796.33 2.470939e+05
0799.67 2.479873e+05
0803.01 2.489709e+05
0806.34 2.498134e+05
0809.68 2.507090e+05
0813.02 2.516925e+05
0816.36 2.525331e+05
0819.70 2.534248e+05
0823.04 2.544022e+05
0826.38 2.552659e+05
0829.72 2.561479e+05
0833.06 2.571134e+05
0836.39 2.580296e+05
0839.73 2.588302e+05
0843.07 2.598402e+05
0846.41 2.607372e+05
0849.75 2.616795e+05
0853.09 2.625351e+05
0856.43 2.635042e+05
0859.77 2.643856e+05
0863.11 2.652789e+05
0866.44 2.661836e+05
0869.78 2.671302e+05
0873.12 2.680527e+05
0876.46 2.689225e+05
0879.80 2.698949e+05
0883.14 2.708133e+05
0886.48 2.717031e+05
0889.82 2.726679e+05
0893.16 2.734757e+05
0896.49 2.744826e+05
0899.83 2.754323e+05
0903.17 2.762554e+05
0906.51 2.772444e+05
0909.85 2.781413e+05
0913.19 2.791048e+05
0916.53 2.800399e+05
0919.87 2.808800e+05
0923.21 2.818830e+05
0926.54 2.827901e+05
0929.88 2.837313e+05
0933.22 2.846719e+05
0936.56 2.855486e+05
0939.90 2.864893e+05
0943.24 2.874925e+05
0946.58 2.883662e+05
0949.92 2.893024e+05
0953.26 2.902683e+05
0956.59 2.911992e+05
0959.93 2.921590e+05
0963.27 2.930197e+05
0966.61 2.940041e+05
0969.95 2.949521e+05
0973.29 2.959591e+05
0976.63 2.968018e+05
0979.97 2.978299e+05
0983.31 2.987249e+05
0986.64 2.996773e+05
0989.98 3.006229e+05
