# material: iron 
# electron-phonon coupling parameter G_ep, sum of majority and minority contributions (DFT calculation spin resolved) 
# temperature [K], g_ep [W/(m^3K)] 
0000.00 7.160278e+17
0003.34 7.242260e+17
0006.68 7.326139e+17
0010.02 7.411976e+17
0013.36 7.499836e+17
0016.69 7.589750e+17
0020.03 7.681665e+17
0023.37 7.775448e+17
0026.71 7.870897e+17
0030.05 7.967743e+17
0033.39 8.065655e+17
0036.73 8.164256e+17
0040.07 8.263141e+17
0043.41 8.361898e+17
0046.74 8.460125e+17
0050.08 8.557448e+17
0053.42 8.653529e+17
0056.76 8.748070e+17
0060.10 8.840821e+17
0063.44 8.931572e+17
0066.78 9.020155e+17
0070.12 9.106440e+17
0073.46 9.190332e+17
0076.79 9.271764e+17
0080.13 9.350695e+17
0083.47 9.427105e+17
0086.81 9.500995e+17
0090.15 9.572376e+17
0093.49 9.641277e+17
0096.83 9.707733e+17
0100.17 9.771789e+17
0103.51 9.833496e+17
0106.84 9.892909e+17
0110.18 9.950088e+17
0113.52 1.000510e+18
0116.86 1.005800e+18
0120.20 1.010885e+18
0123.54 1.015774e+18
0126.88 1.020471e+18
0130.22 1.024984e+18
0133.56 1.029320e+18
0136.89 1.033485e+18
0140.23 1.037486e+18
0143.57 1.041329e+18
0146.91 1.045020e+18
0150.25 1.048566e+18
0153.59 1.051972e+18
0156.93 1.055246e+18
0160.27 1.058392e+18
0163.61 1.061417e+18
0166.94 1.064326e+18
0170.28 1.067124e+18
0173.62 1.069817e+18
0176.96 1.072410e+18
0180.30 1.074908e+18
0183.64 1.077316e+18
0186.98 1.079639e+18
0190.32 1.081881e+18
0193.66 1.084046e+18
0196.99 1.086140e+18
0200.33 1.088165e+18
0203.67 1.090127e+18
0207.01 1.092028e+18
0210.35 1.093873e+18
0213.69 1.095666e+18
0217.03 1.097409e+18
0220.37 1.099106e+18
0223.71 1.100760e+18
0227.05 1.102374e+18
0230.38 1.103951e+18
0233.72 1.105494e+18
0237.06 1.107005e+18
0240.40 1.108488e+18
0243.74 1.109943e+18
0247.08 1.111375e+18
0250.42 1.112784e+18
0253.76 1.114173e+18
0257.10 1.115544e+18
0260.43 1.116899e+18
0263.77 1.118239e+18
0267.11 1.119566e+18
0270.45 1.120882e+18
0273.79 1.122188e+18
0277.13 1.123485e+18
0280.47 1.124775e+18
0283.81 1.126059e+18
0287.15 1.127339e+18
0290.48 1.128614e+18
0293.82 1.129887e+18
0297.16 1.131158e+18
0300.50 1.132427e+18
0303.84 1.133696e+18
0307.18 1.134966e+18
0310.52 1.136237e+18
0313.86 1.137509e+18
0317.20 1.138784e+18
0320.53 1.140061e+18
0323.87 1.141341e+18
0327.21 1.142625e+18
0330.55 1.143913e+18
0333.89 1.145205e+18
0337.23 1.146502e+18
0340.57 1.147803e+18
0343.91 1.149110e+18
0347.25 1.150421e+18
0350.58 1.151738e+18
0353.92 1.153060e+18
0357.26 1.154388e+18
0360.60 1.155721e+18
0363.94 1.157060e+18
0367.28 1.158404e+18
0370.62 1.159754e+18
0373.96 1.161109e+18
0377.30 1.162470e+18
0380.63 1.163837e+18
0383.97 1.165209e+18
0387.31 1.166586e+18
0390.65 1.167969e+18
0393.99 1.169356e+18
0397.33 1.170749e+18
0400.67 1.172146e+18
0404.01 1.173548e+18
0407.35 1.174955e+18
0410.68 1.176366e+18
0414.02 1.177782e+18
0417.36 1.179201e+18
0420.70 1.180625e+18
0424.04 1.182052e+18
0427.38 1.183483e+18
0430.72 1.184917e+18
0434.06 1.186355e+18
0437.40 1.187795e+18
0440.73 1.189238e+18
0444.07 1.190684e+18
0447.41 1.192133e+18
0450.75 1.193584e+18
0454.09 1.195037e+18
0457.43 1.196492e+18
0460.77 1.197949e+18
0464.11 1.199407e+18
0467.45 1.200866e+18
0470.78 1.202327e+18
0474.12 1.203789e+18
0477.46 1.205252e+18
0480.80 1.206716e+18
0484.14 1.208180e+18
0487.48 1.209644e+18
0490.82 1.211109e+18
0494.16 1.212574e+18
0497.50 1.214044e+18
0500.83 1.215518e+18
0504.17 1.216991e+18
0507.51 1.218464e+18
0510.85 1.219936e+18
0514.19 1.221408e+18
0517.53 1.222879e+18
0520.87 1.224349e+18
0524.21 1.225818e+18
0527.55 1.227286e+18
0530.88 1.228753e+18
0534.22 1.230218e+18
0537.56 1.231682e+18
0540.90 1.233144e+18
0544.24 1.234604e+18
0547.58 1.236063e+18
0550.92 1.237520e+18
0554.26 1.238974e+18
0557.60 1.240427e+18
0560.93 1.241878e+18
0564.27 1.243326e+18
0567.61 1.244772e+18
0570.95 1.246215e+18
0574.29 1.247656e+18
0577.63 1.249095e+18
0580.97 1.250531e+18
0584.31 1.251964e+18
0587.65 1.253394e+18
0590.98 1.254822e+18
0594.32 1.256247e+18
0597.66 1.257669e+18
0601.00 1.259088e+18
0604.34 1.260504e+18
0607.68 1.261917e+18
0611.02 1.263327e+18
0614.36 1.264734e+18
0617.70 1.266138e+18
0621.04 1.267539e+18
0624.37 1.268937e+18
0627.71 1.270331e+18
0631.05 1.271722e+18
0634.39 1.273110e+18
0637.73 1.274495e+18
0641.07 1.275876e+18
0644.41 1.277254e+18
0647.75 1.278629e+18
0651.09 1.280001e+18
0654.42 1.281369e+18
0657.76 1.282734e+18
0661.10 1.284096e+18
0664.44 1.285454e+18
0667.78 1.286809e+18
0671.12 1.288161e+18
0674.46 1.289510e+18
0677.80 1.290855e+18
0681.14 1.292197e+18
0684.47 1.293535e+18
0687.81 1.294871e+18
0691.15 1.296203e+18
0694.49 1.297532e+18
0697.83 1.298857e+18
0701.17 1.300180e+18
0704.51 1.301499e+18
0707.85 1.302815e+18
0711.19 1.304128e+18
0714.52 1.305438e+18
0717.86 1.306744e+18
0721.20 1.308080e+18
0724.54 1.309626e+18
0727.88 1.311169e+18
0731.22 1.312710e+18
0734.56 1.314249e+18
0737.90 1.315785e+18
0741.24 1.317319e+18
0744.57 1.318851e+18
0747.91 1.320381e+18
0751.25 1.321909e+18
0754.59 1.323435e+18
0757.93 1.324958e+18
0761.27 1.326480e+18
0764.61 1.327999e+18
0767.95 1.329516e+18
0771.29 1.330988e+18
0774.62 1.332428e+18
0777.96 1.333865e+18
0781.30 1.335300e+18
0784.64 1.336732e+18
0787.98 1.338162e+18
0791.32 1.339589e+18
0794.66 1.341014e+18
0798.00 1.342437e+18
0801.34 1.343857e+18
0804.67 1.345275e+18
0808.01 1.346691e+18
0811.35 1.348104e+18
0814.69 1.349516e+18
0818.03 1.350925e+18
0821.37 1.352332e+18
0824.71 1.353737e+18
0828.05 1.355140e+18
0831.39 1.356541e+18
0834.72 1.357940e+18
0838.06 1.359337e+18
0841.40 1.360732e+18
0844.74 1.362126e+18
0848.08 1.363517e+18
0851.42 1.364907e+18
0854.76 1.366295e+18
0858.10 1.367682e+18
0861.44 1.369067e+18
0864.77 1.370450e+18
0868.11 1.371831e+18
0871.45 1.373212e+18
0874.79 1.374590e+18
0878.13 1.375968e+18
0881.47 1.377343e+18
0884.81 1.378718e+18
0888.15 1.380091e+18
0891.49 1.381463e+18
0894.82 1.382834e+18
0898.16 1.384203e+18
0901.50 1.385571e+18
0904.84 1.386939e+18
0908.18 1.388305e+18
0911.52 1.389670e+18
0914.86 1.391034e+18
0918.20 1.392397e+18
0921.54 1.393759e+18
0924.87 1.395121e+18
0928.21 1.396481e+18
0931.55 1.397841e+18
0934.89 1.399200e+18
0938.23 1.400559e+18
0941.57 1.401916e+18
0944.91 1.403273e+18
0948.25 1.404630e+18
0951.59 1.405986e+18
0954.92 1.407341e+18
0958.26 1.408696e+18
0961.60 1.410051e+18
0964.94 1.411405e+18
0968.28 1.412759e+18
0971.62 1.414112e+18
0974.96 1.415465e+18
0978.30 1.416819e+18
0981.64 1.418171e+18
0984.97 1.419524e+18
0988.31 1.420879e+18
0991.65 1.422237e+18
0994.99 1.423594e+18
0998.33 1.424952e+18
1001.67 1.426310e+18
1005.01 1.427667e+18
1008.35 1.429025e+18
1011.69 1.430384e+18
1015.03 1.431742e+18
1018.36 1.433101e+18
1021.70 1.434460e+18
1025.04 1.435819e+18
1028.38 1.437179e+18
1031.72 1.438539e+18
1035.06 1.439899e+18
1038.40 1.441260e+18
1041.74 1.442622e+18
1045.08 1.443984e+18
1048.41 1.445347e+18
1051.75 1.446710e+18
1055.09 1.448074e+18
1058.43 1.449439e+18
1061.77 1.450805e+18
1065.11 1.452171e+18
1068.45 1.453538e+18
1071.79 1.454906e+18
1075.13 1.456275e+18
1078.46 1.457645e+18
1081.80 1.459015e+18
1085.14 1.460387e+18
1088.48 1.461760e+18
1091.82 1.463133e+18
1095.16 1.464508e+18
1098.50 1.465884e+18
1101.84 1.467261e+18
1105.18 1.468418e+18
1108.51 1.469519e+18
1111.85 1.470622e+18
1115.19 1.471725e+18
1118.53 1.472830e+18
1121.87 1.473936e+18
1125.21 1.475042e+18
1128.55 1.476150e+18
1131.89 1.477259e+18
1135.23 1.478369e+18
1138.56 1.479480e+18
1141.90 1.480593e+18
1145.24 1.481707e+18
