# material: iron 
# phonon heat capacity (DFT calculation spin resolved) 
# temperature [K], heat capacity [J/(m^3K)] 
0001.67 1.490335e+02
0005.01 1.164536e+03
0008.35 3.527479e+03
0011.69 7.643427e+03
0015.03 1.398913e+04
0018.36 2.319086e+04
0021.70 3.615196e+04
0025.04 5.407536e+04
0028.38 7.828439e+04
0031.72 1.099430e+05
0035.06 1.498291e+05
0038.40 1.982315e+05
0041.74 2.549598e+05
0045.08 3.194252e+05
0048.41 3.907509e+05
0051.75 4.678841e+05
0055.09 5.496934e+05
0058.43 6.350454e+05
0061.77 7.228602e+05
0065.11 8.121470e+05
0068.45 9.020248e+05
0071.79 9.917311e+05
0075.13 1.080621e+06
0078.46 1.168163e+06
0081.80 1.253930e+06
0085.14 1.337585e+06
0088.48 1.418874e+06
0091.82 1.497614e+06
0095.16 1.573679e+06
0098.50 1.646994e+06
0101.84 1.717524e+06
0105.18 1.785267e+06
0108.51 1.850248e+06
0111.85 1.912512e+06
0115.19 1.972120e+06
0118.53 2.029146e+06
0121.87 2.083671e+06
0125.21 2.135784e+06
0128.55 2.185576e+06
0131.89 2.233140e+06
0135.23 2.278572e+06
0138.56 2.321965e+06
0141.90 2.363412e+06
0145.24 2.403002e+06
0148.58 2.440825e+06
0151.92 2.476965e+06
0155.26 2.511504e+06
0158.60 2.544522e+06
0161.94 2.576093e+06
0165.28 2.606289e+06
0168.61 2.635180e+06
0171.95 2.662831e+06
0175.29 2.689303e+06
0178.63 2.714656e+06
0181.97 2.738947e+06
0185.31 2.762227e+06
0188.65 2.784547e+06
0191.99 2.805956e+06
0195.33 2.826497e+06
0198.66 2.846214e+06
0202.00 2.865147e+06
0205.34 2.883334e+06
0208.68 2.900810e+06
0212.02 2.917612e+06
0215.36 2.933769e+06
0218.70 2.949314e+06
0222.04 2.964274e+06
0225.38 2.978678e+06
0228.71 2.992550e+06
0232.05 3.005916e+06
0235.39 3.018799e+06
0238.73 3.031220e+06
0242.07 3.043201e+06
0245.41 3.054761e+06
0248.75 3.065918e+06
0252.09 3.076691e+06
0255.43 3.087096e+06
0258.76 3.097149e+06
0262.10 3.106866e+06
0265.44 3.116259e+06
0268.78 3.125344e+06
0272.12 3.134133e+06
0275.46 3.142639e+06
0278.80 3.150872e+06
0282.14 3.158845e+06
0285.48 3.166567e+06
0288.81 3.174049e+06
0292.15 3.181300e+06
0295.49 3.188330e+06
0298.83 3.195147e+06
0302.17 3.201760e+06
0305.51 3.208175e+06
0308.85 3.214402e+06
0312.19 3.220447e+06
0315.53 3.226316e+06
0318.86 3.232017e+06
0322.20 3.237556e+06
0325.54 3.242938e+06
0328.88 3.248170e+06
0332.22 3.253256e+06
0335.56 3.258203e+06
0338.90 3.263014e+06
0342.24 3.267695e+06
0345.58 3.272250e+06
0348.91 3.276685e+06
0352.25 3.281002e+06
0355.59 3.285206e+06
0358.93 3.289300e+06
0362.27 3.293289e+06
0365.61 3.297176e+06
0368.95 3.300965e+06
0372.29 3.304658e+06
0375.63 3.308258e+06
0378.96 3.311770e+06
0382.30 3.315195e+06
0385.64 3.318536e+06
0388.98 3.321797e+06
0392.32 3.324979e+06
0395.66 3.328085e+06
0399.00 3.331118e+06
0402.34 3.334079e+06
0405.68 3.336971e+06
0409.02 3.339796e+06
0412.35 3.342556e+06
0415.69 3.345253e+06
0419.03 3.347889e+06
0422.37 3.350466e+06
0425.71 3.352985e+06
0429.05 3.355448e+06
0432.39 3.357856e+06
0435.73 3.360212e+06
0439.07 3.362517e+06
0442.40 3.364772e+06
0445.74 3.366979e+06
0449.08 3.369138e+06
0452.42 3.371252e+06
0455.76 3.373322e+06
0459.10 3.375348e+06
0462.44 3.377333e+06
0465.78 3.379276e+06
0469.12 3.381180e+06
0472.45 3.383045e+06
0475.79 3.384872e+06
0479.13 3.386663e+06
0482.47 3.388418e+06
0485.81 3.390138e+06
0489.15 3.391824e+06
0492.49 3.393477e+06
0495.83 3.395098e+06
0499.17 3.396688e+06
0502.50 3.398247e+06
0505.84 3.399777e+06
0509.18 3.401277e+06
0512.52 3.402749e+06
0515.86 3.404194e+06
0519.20 3.405612e+06
0522.54 3.407003e+06
0525.88 3.408369e+06
0529.22 3.409710e+06
0532.55 3.411026e+06
0535.89 3.412319e+06
0539.23 3.413588e+06
0542.57 3.414835e+06
0545.91 3.416059e+06
0549.25 3.417262e+06
0552.59 3.418444e+06
0555.93 3.419605e+06
0559.27 3.420746e+06
0562.60 3.421867e+06
0565.94 3.422969e+06
0569.28 3.424052e+06
0572.62 3.425117e+06
0575.96 3.426163e+06
0579.30 3.427192e+06
0582.64 3.428204e+06
0585.98 3.429199e+06
0589.32 3.430178e+06
0592.65 3.431141e+06
0595.99 3.432087e+06
0599.33 3.433019e+06
0602.67 3.433935e+06
0606.01 3.434836e+06
0609.35 3.435724e+06
0612.69 3.436597e+06
0616.03 3.437456e+06
0619.37 3.438301e+06
0622.70 3.439133e+06
0626.04 3.439953e+06
0629.38 3.440759e+06
0632.72 3.441553e+06
0636.06 3.442335e+06
0639.40 3.443105e+06
0642.74 3.443863e+06
0646.08 3.444610e+06
0649.42 3.445346e+06
0652.75 3.446070e+06
0656.09 3.446784e+06
0659.43 3.447487e+06
0662.77 3.448179e+06
0666.11 3.448862e+06
0669.45 3.449534e+06
0672.79 3.450197e+06
0676.13 3.450850e+06
0679.47 3.451493e+06
0682.80 3.452128e+06
0686.14 3.452753e+06
0689.48 3.453369e+06
0692.82 3.453977e+06
0696.16 3.454576e+06
0699.50 3.455167e+06
0702.84 3.455749e+06
0706.18 3.456323e+06
0709.52 3.456890e+06
0712.85 3.457448e+06
0716.19 3.457999e+06
0719.53 3.458542e+06
0722.87 3.459078e+06
0726.21 3.459607e+06
0729.55 3.460129e+06
0732.89 3.460643e+06
0736.23 3.461151e+06
0739.57 3.461652e+06
0742.90 3.462146e+06
0746.24 3.462634e+06
0749.58 3.463115e+06
0752.92 3.463590e+06
0756.26 3.464059e+06
0759.60 3.464522e+06
0762.94 3.464979e+06
0766.28 3.465430e+06
0769.62 3.465875e+06
0772.95 3.466315e+06
0776.29 3.466749e+06
0779.63 3.467177e+06
0782.97 3.467600e+06
0786.31 3.468018e+06
0789.65 3.468431e+06
0792.99 3.468838e+06
0796.33 3.469240e+06
0799.67 3.469638e+06
0803.01 3.470030e+06
0806.34 3.470418e+06
0809.68 3.470801e+06
0813.02 3.471179e+06
0816.36 3.471553e+06
0819.70 3.471922e+06
0823.04 3.472287e+06
0826.38 3.472648e+06
0829.72 3.473004e+06
0833.06 3.473356e+06
0836.39 3.473704e+06
0839.73 3.474047e+06
0843.07 3.474387e+06
0846.41 3.474723e+06
0849.75 3.475055e+06
0853.09 3.475383e+06
0856.43 3.475707e+06
0859.77 3.476027e+06
0863.11 3.476344e+06
0866.44 3.476657e+06
0869.78 3.476967e+06
0873.12 3.477273e+06
0876.46 3.477576e+06
0879.80 3.477875e+06
0883.14 3.478171e+06
0886.48 3.478464e+06
0889.82 3.478753e+06
0893.16 3.479039e+06
0896.49 3.479322e+06
0899.83 3.479602e+06
0903.17 3.479879e+06
0906.51 3.480153e+06
0909.85 3.480424e+06
0913.19 3.480691e+06
0916.53 3.480956e+06
0919.87 3.481219e+06
0923.21 3.481478e+06
0926.54 3.481735e+06
0929.88 3.481988e+06
0933.22 3.482240e+06
0936.56 3.482488e+06
0939.90 3.482734e+06
0943.24 3.482977e+06
0946.58 3.483218e+06
0949.92 3.483456e+06
0953.26 3.483692e+06
0956.59 3.483925e+06
0959.93 3.484156e+06
0963.27 3.484385e+06
0966.61 3.484611e+06
0969.95 3.484835e+06
0973.29 3.485056e+06
0976.63 3.485276e+06
0979.97 3.485493e+06
0983.31 3.485708e+06
0986.64 3.485921e+06
0989.98 3.486131e+06
0993.32 3.486340e+06
0996.66 3.486546e+06
1000.00 3.486751e+06
1003.34 3.486953e+06
1006.68 3.487153e+06
1010.02 3.487352e+06
1013.36 3.487548e+06
1016.69 3.487743e+06
1020.03 3.487936e+06
1023.37 3.488127e+06
1026.71 3.488316e+06
1030.05 3.488503e+06
1033.39 3.488688e+06
1036.73 3.488872e+06
1040.07 3.489054e+06
1043.41 3.489234e+06
1046.74 3.489412e+06
1050.08 3.489589e+06
1053.42 3.489764e+06
1056.76 3.489937e+06
1060.10 3.490109e+06
1063.44 3.490279e+06
1066.78 3.490448e+06
1070.12 3.490615e+06
1073.46 3.490780e+06
1076.79 3.490944e+06
1080.13 3.491107e+06
1083.47 3.491268e+06
1086.81 3.491427e+06
1090.15 3.491585e+06
1093.49 3.491742e+06
1096.83 3.491897e+06
1100.17 3.492051e+06
1103.51 3.492203e+06
1106.84 3.492354e+06
1110.18 3.492504e+06
1113.52 3.492652e+06
1116.86 3.492799e+06
1120.20 3.492945e+06
1123.54 3.493090e+06
1126.88 3.493233e+06
1130.22 3.493375e+06
1133.56 3.493515e+06
1136.89 3.493655e+06
1140.23 3.493793e+06
