# material: nickel 
# electron heat capacity (DFT calculation not spin resolved) 
# temperature [K], heat capacity [J/(m^3K)] 
0001.67 2.035921e+03
0005.01 9.083807e+03
0008.35 1.214164e+04
0011.69 1.603356e+04
0015.03 2.056161e+04
0018.36 2.507642e+04
0021.70 2.986058e+04
0025.04 3.450170e+04
0028.38 3.897011e+04
0031.72 4.387081e+04
0035.06 4.853032e+04
0038.40 5.328160e+04
0041.74 5.813636e+04
0045.08 6.300787e+04
0048.41 6.765604e+04
0051.75 7.249079e+04
0055.09 7.729062e+04
0058.43 8.192976e+04
0061.77 8.690752e+04
0065.11 9.145401e+04
0068.45 9.628094e+04
0071.79 1.007569e+05
0075.13 1.054807e+05
0078.46 1.102064e+05
0081.80 1.145630e+05
0085.14 1.191565e+05
0088.48 1.236883e+05
0091.82 1.282493e+05
0095.16 1.325632e+05
0098.50 1.369142e+05
0101.84 1.413938e+05
0105.18 1.457103e+05
0108.51 1.499335e+05
0111.85 1.541196e+05
0115.19 1.584972e+05
0118.53 1.625314e+05
0121.87 1.667946e+05
0125.21 1.709093e+05
0128.55 1.748579e+05
0131.89 1.789833e+05
0135.23 1.830547e+05
0138.56 1.870168e+05
0141.90 1.908036e+05
0145.24 1.948987e+05
0148.58 1.988435e+05
0151.92 2.025446e+05
0155.26 2.064604e+05
0158.60 2.101105e+05
0161.94 2.139399e+05
0165.28 2.176433e+05
0168.61 2.212831e+05
0171.95 2.251028e+05
0175.29 2.285990e+05
0178.63 2.321939e+05
0181.97 2.359348e+05
0185.31 2.393104e+05
0188.65 2.427344e+05
0191.99 2.462469e+05
0195.33 2.498864e+05
0198.66 2.531356e+05
0202.00 2.564004e+05
0205.34 2.598994e+05
0208.68 2.631129e+05
0212.02 2.664422e+05
0215.36 2.697348e+05
0218.70 2.730217e+05
0222.04 2.761497e+05
0225.38 2.793325e+05
0228.71 2.824159e+05
0232.05 2.854290e+05
0235.39 2.887660e+05
0238.73 2.915405e+05
0242.07 2.948768e+05
0245.41 2.977064e+05
0248.75 3.006044e+05
0252.09 3.035969e+05
0255.43 3.065282e+05
0258.76 3.094244e+05
0262.10 3.123112e+05
0265.44 3.150328e+05
0268.78 3.179765e+05
0272.12 3.206241e+05
0275.46 3.233619e+05
0278.80 3.262135e+05
0282.14 3.288419e+05
0285.48 3.314512e+05
0288.81 3.342439e+05
0292.15 3.367035e+05
0295.49 3.393913e+05
0298.83 3.419699e+05
0302.17 3.444613e+05
0305.51 3.468869e+05
0308.85 3.496244e+05
0312.19 3.518016e+05
0315.53 3.545088e+05
0318.86 3.566964e+05
0322.20 3.592736e+05
0325.54 3.615477e+05
0328.88 3.638927e+05
0332.22 3.661491e+05
0335.56 3.685113e+05
0338.90 3.708194e+05
0342.24 3.729138e+05
0345.58 3.753400e+05
0348.91 3.774086e+05
0352.25 3.794879e+05
0355.59 3.817682e+05
0358.93 3.839127e+05
0362.27 3.861111e+05
0365.61 3.880273e+05
0368.95 3.901996e+05
0372.29 3.921169e+05
0375.63 3.941409e+05
0378.96 3.962835e+05
0382.30 3.982084e+05
0385.64 4.001017e+05
0388.98 4.019745e+05
0392.32 4.040106e+05
0395.66 4.057014e+05
0399.00 4.077486e+05
0402.34 4.096432e+05
0405.68 4.113954e+05
0409.02 4.131866e+05
0412.35 4.148539e+05
0415.69 4.167489e+05
0419.03 4.185363e+05
0422.37 4.202243e+05
0425.71 4.218210e+05
0429.05 4.236751e+05
0432.39 4.251109e+05
0435.73 4.269875e+05
0439.07 4.284599e+05
0442.40 4.302148e+05
