# material: nickel 
# electron-phonon coupling parameter G_ep (DFT calculation not spin resolved) 
# temperature [K], g_ep [W/(m^3K)] 
0000.00 1.759148e+18
0003.34 1.779318e+18
0006.68 1.799970e+18
0010.02 1.821166e+18
0013.36 1.843006e+18
0016.69 1.865607e+18
0020.03 1.889070e+18
0023.37 1.913471e+18
0026.71 1.938837e+18
0030.05 1.965143e+18
0033.39 1.992313e+18
0036.73 2.020233e+18
0040.07 2.048757e+18
0043.41 2.077726e+18
0046.74 2.106975e+18
0050.08 2.136341e+18
0053.42 2.165669e+18
0056.76 2.194820e+18
0060.10 2.223668e+18
0063.44 2.252103e+18
0066.78 2.280033e+18
0070.12 2.307380e+18
0073.46 2.334082e+18
0076.79 2.360090e+18
0080.13 2.385366e+18
0083.47 2.409884e+18
0086.81 2.433626e+18
0090.15 2.456583e+18
0093.49 2.478751e+18
0096.83 2.500133e+18
0100.17 2.520736e+18
0103.51 2.540571e+18
0106.84 2.559651e+18
0110.18 2.577994e+18
0113.52 2.595616e+18
0116.86 2.612537e+18
0120.20 2.628778e+18
0123.54 2.644360e+18
0126.88 2.659303e+18
0130.22 2.673628e+18
0133.56 2.687359e+18
0136.89 2.700515e+18
0140.23 2.713116e+18
0143.57 2.725185e+18
0146.91 2.736740e+18
0150.25 2.747801e+18
0153.59 2.758387e+18
0156.93 2.768515e+18
0160.27 2.778204e+18
0163.61 2.787470e+18
0166.94 2.796330e+18
0170.28 2.804799e+18
0173.62 2.812893e+18
0176.96 2.820625e+18
0180.30 2.828010e+18
0183.64 2.835061e+18
0186.98 2.841791e+18
0190.32 2.848212e+18
0193.66 2.854335e+18
0196.99 2.860173e+18
0200.33 2.865735e+18
0203.67 2.871032e+18
0207.01 2.876074e+18
0210.35 2.880870e+18
0213.69 2.885430e+18
0217.03 2.889762e+18
0220.37 2.893874e+18
0223.71 2.897774e+18
0227.05 2.901470e+18
0230.38 2.904970e+18
0233.72 2.908280e+18
0237.06 2.911407e+18
0240.40 2.914357e+18
0243.74 2.917065e+18
0247.08 2.919075e+18
0250.42 2.920922e+18
0253.76 2.922610e+18
0257.10 2.924147e+18
0260.43 2.925536e+18
0263.77 2.926782e+18
0267.11 2.927892e+18
0270.45 2.928869e+18
0273.79 2.929717e+18
0277.13 2.930442e+18
0280.47 2.931047e+18
0283.81 2.931536e+18
0287.15 2.931913e+18
0290.48 2.932182e+18
0293.82 2.932347e+18
0297.16 2.932410e+18
0300.50 2.932376e+18
0303.84 2.932247e+18
0307.18 2.932027e+18
0310.52 2.931718e+18
0313.86 2.931325e+18
0317.20 2.930848e+18
0320.53 2.930292e+18
0323.87 2.929658e+18
0327.21 2.928950e+18
0330.55 2.928169e+18
0333.89 2.927319e+18
0337.23 2.926401e+18
0340.57 2.925417e+18
0343.91 2.924371e+18
0347.25 2.923264e+18
0350.58 2.922097e+18
0353.92 2.920874e+18
0357.26 2.919595e+18
0360.60 2.918263e+18
0363.94 2.916880e+18
0367.28 2.915447e+18
0370.62 2.913966e+18
0373.96 2.912438e+18
0377.30 2.910866e+18
0380.63 2.909250e+18
0383.97 2.907593e+18
0387.31 2.905895e+18
0390.65 2.904158e+18
0393.99 2.902384e+18
0397.33 2.900573e+18
0400.67 2.898728e+18
0404.01 2.896849e+18
0407.35 2.894937e+18
0410.68 2.892995e+18
0414.02 2.891022e+18
0417.36 2.889020e+18
0420.70 2.886990e+18
0424.04 2.884933e+18
0427.38 2.882851e+18
0430.72 2.880743e+18
0434.06 2.878612e+18
0437.40 2.876458e+18
0440.73 2.874282e+18
0444.07 2.872085e+18
0447.41 2.869867e+18
0450.75 2.867631e+18
0454.09 2.865375e+18
0457.43 2.863103e+18
0460.77 2.860813e+18
0464.11 2.858507e+18
0467.45 2.856185e+18
0470.78 2.853849e+18
0474.12 2.851499e+18
0477.46 2.849136e+18
0480.80 2.846760e+18
0484.14 2.844372e+18
0487.48 2.841972e+18
0490.82 2.839562e+18
0494.16 2.837142e+18
0497.50 2.834712e+18
0500.83 2.832274e+18
0504.17 2.829827e+18
0507.51 2.827372e+18
0510.85 2.824910e+18
0514.19 2.822441e+18
0517.53 2.819966e+18
0520.87 2.817485e+18
0524.21 2.814999e+18
0527.55 2.812508e+18
0530.88 2.810013e+18
0534.22 2.807513e+18
0537.56 2.805011e+18
0540.90 2.802505e+18
0544.24 2.799997e+18
0547.58 2.797486e+18
0550.92 2.794974e+18
0554.26 2.792460e+18
0557.60 2.789945e+18
0560.93 2.787430e+18
0564.27 2.784914e+18
0567.61 2.782398e+18
0570.95 2.779883e+18
0574.29 2.777368e+18
0577.63 2.774855e+18
0580.97 2.772343e+18
0584.31 2.769832e+18
0587.65 2.767324e+18
0590.98 2.764818e+18
0594.32 2.762314e+18
0597.66 2.759814e+18
0601.00 2.757316e+18
0604.34 2.754822e+18
0607.68 2.752332e+18
0611.02 2.749846e+18
0614.36 2.747364e+18
0617.70 2.744886e+18
0621.04 2.742413e+18
0624.37 2.739897e+18
0627.71 2.737335e+18
0631.05 2.734778e+18
0634.39 2.732227e+18
0637.73 2.729681e+18
0641.07 2.727141e+18
0644.41 2.724608e+18
0647.75 2.722080e+18
0651.09 2.719559e+18
0654.42 2.717045e+18
0657.76 2.714537e+18
0661.10 2.712037e+18
0664.44 2.709544e+18
0667.78 2.707058e+18
0671.12 2.704580e+18
