# material: nickel 
# phonon heat capacity (DFT calculation not spin resolved) 
# temperature [K], heat capacity [J/(m^3K)] 
0001.67 4.310256e+01
0005.01 5.165971e+02
0008.35 2.328445e+03
0011.69 6.598336e+03
0015.03 1.456413e+04
0018.36 2.750479e+04
0021.70 4.679282e+04
0025.04 7.383638e+04
0028.38 1.098274e+05
0031.72 1.554869e+05
0035.06 2.109527e+05
0038.40 2.758147e+05
0041.74 3.492340e+05
0045.08 4.300868e+05
0048.41 5.170973e+05
0051.75 6.089449e+05
0055.09 7.043425e+05
0058.43 8.020891e+05
0061.77 9.011015e+05
0065.11 1.000430e+06
0068.45 1.099262e+06
0071.79 1.196918e+06
0075.13 1.292845e+06
0078.46 1.386603e+06
0081.80 1.477852e+06
0085.14 1.566338e+06
0088.48 1.651884e+06
0091.82 1.734375e+06
0095.16 1.813746e+06
0098.50 1.889978e+06
0101.84 1.963084e+06
0105.18 2.033103e+06
0108.51 2.100099e+06
0111.85 2.164148e+06
0115.19 2.225340e+06
0118.53 2.283774e+06
0121.87 2.339552e+06
0125.21 2.392781e+06
0128.55 2.443570e+06
0131.89 2.492026e+06
0135.23 2.538256e+06
0138.56 2.582365e+06
0141.90 2.624454e+06
0145.24 2.664623e+06
0148.58 2.702967e+06
0151.92 2.739577e+06
0155.26 2.774540e+06
0158.60 2.807942e+06
0161.94 2.839861e+06
0165.28 2.870373e+06
0168.61 2.899550e+06
0171.95 2.927461e+06
0175.29 2.954171e+06
0178.63 2.979740e+06
0181.97 3.004228e+06
0185.31 3.027689e+06
0188.65 3.050174e+06
0191.99 3.071734e+06
0195.33 3.092414e+06
0198.66 3.112257e+06
0202.00 3.131307e+06
0205.34 3.149601e+06
0208.68 3.167177e+06
0212.02 3.184069e+06
0215.36 3.200310e+06
0218.70 3.215932e+06
0222.04 3.230963e+06
0225.38 3.245433e+06
0228.71 3.259367e+06
0232.05 3.272789e+06
0235.39 3.285724e+06
0238.73 3.298194e+06
0242.07 3.310219e+06
0245.41 3.321821e+06
0248.75 3.333017e+06
0252.09 3.343826e+06
0255.43 3.354264e+06
0258.76 3.364348e+06
0262.10 3.374093e+06
0265.44 3.383514e+06
0268.78 3.392624e+06
0272.12 3.401436e+06
0275.46 3.409963e+06
0278.80 3.418217e+06
0282.14 3.426209e+06
0285.48 3.433948e+06
0288.81 3.441447e+06
0292.15 3.448714e+06
0295.49 3.455758e+06
0298.83 3.462588e+06
0302.17 3.469214e+06
0305.51 3.475641e+06
0308.85 3.481879e+06
0312.19 3.487934e+06
0315.53 3.493813e+06
0318.86 3.499523e+06
0322.20 3.505070e+06
0325.54 3.510460e+06
0328.88 3.515699e+06
0332.22 3.520792e+06
0335.56 3.525745e+06
0338.90 3.530562e+06
0342.24 3.535249e+06
0345.58 3.539810e+06
0348.91 3.544249e+06
0352.25 3.548571e+06
0355.59 3.552779e+06
0358.93 3.556877e+06
0362.27 3.560870e+06
0365.61 3.564761e+06
0368.95 3.568553e+06
0372.29 3.572249e+06
0375.63 3.575852e+06
0378.96 3.579366e+06
0382.30 3.582794e+06
0385.64 3.586138e+06
0388.98 3.589401e+06
0392.32 3.592585e+06
0395.66 3.595693e+06
0399.00 3.598727e+06
0402.34 3.601690e+06
0405.68 3.604583e+06
0409.02 3.607410e+06
0412.35 3.610171e+06
0415.69 3.612870e+06
0419.03 3.615507e+06
0422.37 3.618084e+06
0425.71 3.620604e+06
0429.05 3.623068e+06
0432.39 3.625477e+06
0435.73 3.627834e+06
0439.07 3.630140e+06
0442.40 3.632395e+06
0445.74 3.634602e+06
0449.08 3.636762e+06
0452.42 3.638877e+06
0455.76 3.640947e+06
0459.10 3.642973e+06
0462.44 3.644958e+06
0465.78 3.646902e+06
0469.12 3.648806e+06
0472.45 3.650671e+06
0475.79 3.652498e+06
0479.13 3.654289e+06
0482.47 3.656044e+06
0485.81 3.657764e+06
0489.15 3.659450e+06
0492.49 3.661104e+06
0495.83 3.662725e+06
0499.17 3.664314e+06
0502.50 3.665874e+06
0505.84 3.667403e+06
0509.18 3.668903e+06
0512.52 3.670375e+06
0515.86 3.671820e+06
0519.20 3.673237e+06
0522.54 3.674629e+06
0525.88 3.675994e+06
0529.22 3.677335e+06
0532.55 3.678651e+06
0535.89 3.679943e+06
0539.23 3.681212e+06
0542.57 3.682459e+06
0545.91 3.683683e+06
0549.25 3.684886e+06
0552.59 3.686067e+06
0555.93 3.687228e+06
0559.27 3.688369e+06
0562.60 3.689489e+06
0565.94 3.690591e+06
0569.28 3.691674e+06
0572.62 3.692738e+06
0575.96 3.693785e+06
0579.30 3.694813e+06
0582.64 3.695825e+06
0585.98 3.696820e+06
0589.32 3.697798e+06
0592.65 3.698760e+06
0595.99 3.699707e+06
0599.33 3.700638e+06
0602.67 3.701554e+06
0606.01 3.702455e+06
0609.35 3.703342e+06
0612.69 3.704214e+06
0616.03 3.705073e+06
0619.37 3.705918e+06
0622.70 3.706750e+06
0626.04 3.707569e+06
0629.38 3.708375e+06
0632.72 3.709169e+06
0636.06 3.709951e+06
0639.40 3.710720e+06
0642.74 3.711478e+06
0646.08 3.712224e+06
0649.42 3.712960e+06
0652.75 3.713684e+06
0656.09 3.714397e+06
0659.43 3.715100e+06
0662.77 3.715792e+06
0666.11 3.716474e+06
0669.45 3.717146e+06
0672.79 3.717808e+06
0676.13 3.718461e+06
0679.47 3.719104e+06
0682.80 3.719738e+06
0686.14 3.720363e+06
0689.48 3.720979e+06
0692.82 3.721587e+06
0696.16 3.722185e+06
0699.50 3.722776e+06
0702.84 3.723358e+06
0706.18 3.723932e+06
0709.52 3.724498e+06
0712.85 3.725056e+06
0716.19 3.725607e+06
0719.53 3.726150e+06
0722.87 3.726685e+06
0726.21 3.727214e+06
0729.55 3.727735e+06
0732.89 3.728249e+06
0736.23 3.728757e+06
0739.57 3.729257e+06
0742.90 3.729751e+06
0746.24 3.730239e+06
0749.58 3.730720e+06
0752.92 3.731195e+06
0756.26 3.731663e+06
0759.60 3.732126e+06
0762.94 3.732582e+06
0766.28 3.733033e+06
0769.62 3.733478e+06
0772.95 3.733917e+06
0776.29 3.734351e+06
0779.63 3.734779e+06
0782.97 3.735202e+06
0786.31 3.735619e+06
0789.65 3.736032e+06
0792.99 3.736439e+06
0796.33 3.736841e+06
0799.67 3.737238e+06
0803.01 3.737630e+06
0806.34 3.738018e+06
0809.68 3.738400e+06
0813.02 3.738778e+06
0816.36 3.739152e+06
0819.70 3.739521e+06
0823.04 3.739886e+06
0826.38 3.740246e+06
0829.72 3.740602e+06
0833.06 3.740954e+06
0836.39 3.741301e+06
0839.73 3.741645e+06
0843.07 3.741984e+06
0846.41 3.742320e+06
0849.75 3.742651e+06
0853.09 3.742979e+06
0856.43 3.743303e+06
0859.77 3.743623e+06
0863.11 3.743940e+06
0866.44 3.744253e+06
0869.78 3.744562e+06
0873.12 3.744868e+06
0876.46 3.745170e+06
0879.80 3.745470e+06
0883.14 3.745765e+06
0886.48 3.746058e+06
0889.82 3.746347e+06
0893.16 3.746633e+06
0896.49 3.746916e+06
0899.83 3.747195e+06
0903.17 3.747472e+06
0906.51 3.747745e+06
0909.85 3.748016e+06
0913.19 3.748284e+06
0916.53 3.748549e+06
0919.87 3.748811e+06
0923.21 3.749070e+06
0926.54 3.749326e+06
0929.88 3.749580e+06
0933.22 3.749831e+06
0936.56 3.750079e+06
0939.90 3.750325e+06
0943.24 3.750568e+06
0946.58 3.750808e+06
0949.92 3.751046e+06
0953.26 3.751282e+06
0956.59 3.751515e+06
0959.93 3.751746e+06
0963.27 3.751974e+06
0966.61 3.752200e+06
0969.95 3.752424e+06
0973.29 3.752645e+06
0976.63 3.752864e+06
0979.97 3.753081e+06
0983.31 3.753296e+06
