# material: nickel 
# electron heat capacity , sum of majority and minority contributions (DFT calculation spin resolved) 
# temperature [K], heat capacity [J/(m^3K)] 
0001.67 7.043390e+02
0005.01 3.168319e+03
0008.35 4.213457e+03
0011.69 5.554410e+03
0015.03 7.179273e+03
0018.36 8.713714e+03
0021.70 1.036879e+04
0025.04 1.191845e+04
0028.38 1.356492e+04
0031.72 1.512151e+04
0035.06 1.678377e+04
0038.40 1.832746e+04
0041.74 1.995804e+04
0045.08 2.157139e+04
0048.41 2.320727e+04
0051.75 2.476361e+04
0055.09 2.640141e+04
0058.43 2.799100e+04
0061.77 2.967798e+04
0065.11 3.119099e+04
0068.45 3.284582e+04
0071.79 3.451243e+04
0075.13 3.606083e+04
0078.46 3.774392e+04
0081.80 3.931186e+04
0085.14 4.093406e+04
0088.48 4.257381e+04
0091.82 4.421033e+04
0095.16 4.584422e+04
0098.50 4.749045e+04
0101.84 4.907994e+04
0105.18 5.074262e+04
0108.51 5.234646e+04
0111.85 5.403610e+04
0115.19 5.562318e+04
0118.53 5.728918e+04
0121.87 5.892390e+04
0125.21 6.058134e+04
0128.55 6.221537e+04
0131.89 6.389393e+04
0135.23 6.549991e+04
0138.56 6.719457e+04
0141.90 6.883115e+04
0145.24 7.046337e+04
0148.58 7.215177e+04
0151.92 7.377835e+04
0155.26 7.547419e+04
0158.60 7.717107e+04
0161.94 7.876402e+04
0165.28 8.049092e+04
0168.61 8.216151e+04
0171.95 8.386242e+04
0175.29 8.551032e+04
0178.63 8.718453e+04
0181.97 8.887930e+04
0185.31 9.053834e+04
0188.65 9.226317e+04
0191.99 9.397451e+04
0195.33 9.568868e+04
0198.66 9.732606e+04
0202.00 9.910246e+04
0205.34 1.007750e+05
0208.68 1.025437e+05
0212.02 1.042089e+05
0215.36 1.059707e+05
0218.70 1.076363e+05
0222.04 1.094425e+05
0225.38 1.111599e+05
0228.71 1.128968e+05
0232.05 1.146169e+05
0235.39 1.164148e+05
0238.73 1.181186e+05
0242.07 1.199154e+05
0245.41 1.216909e+05
0248.75 1.234826e+05
0252.09 1.251974e+05
0255.43 1.270021e+05
0258.76 1.287827e+05
0262.10 1.305982e+05
0265.44 1.323927e+05
0268.78 1.341677e+05
0272.12 1.360333e+05
0275.46 1.377817e+05
0278.80 1.396247e+05
0282.14 1.413985e+05
0285.48 1.432784e+05
0288.81 1.450938e+05
0292.15 1.469118e+05
0295.49 1.487790e+05
0298.83 1.505896e+05
0302.17 1.524620e+05
0305.51 1.542905e+05
0308.85 1.561800e+05
0312.19 1.579671e+05
0315.53 1.598933e+05
0318.86 1.617814e+05
0322.20 1.635701e+05
0325.54 1.655082e+05
0328.88 1.673607e+05
0332.22 1.692400e+05
0335.56 1.711126e+05
0338.90 1.730704e+05
0342.24 1.748479e+05
0345.58 1.768479e+05
