# material: nickel 
# electron-phonon coupling parameter G_ep, sum of majority and minority contributions (DFT calculation spin resolved) 
# temperature [K], g_ep [W/(m^3K)] 
0000.00 9.592417e+17
0003.34 9.704127e+17
0006.68 9.824541e+17
0010.02 9.947417e+17
0013.36 1.007273e+18
0016.69 1.020091e+18
0020.03 1.033209e+18
0023.37 1.046625e+18
0026.71 1.060321e+18
0030.05 1.074264e+18
0033.39 1.088404e+18
0036.73 1.102680e+18
0040.07 1.117025e+18
0043.41 1.131367e+18
0046.74 1.145638e+18
0050.08 1.159774e+18
0053.42 1.173720e+18
0056.76 1.187427e+18
0060.10 1.200856e+18
0063.44 1.213976e+18
0066.78 1.226763e+18
0070.12 1.239201e+18
0073.46 1.251279e+18
0076.79 1.262991e+18
0080.13 1.274337e+18
0083.47 1.285319e+18
0086.81 1.295940e+18
0090.15 1.306209e+18
0093.49 1.316134e+18
0096.83 1.325724e+18
0100.17 1.334991e+18
0103.51 1.343946e+18
0106.84 1.352600e+18
0110.18 1.360965e+18
0113.52 1.369053e+18
0116.86 1.376875e+18
0120.20 1.384443e+18
0123.54 1.391767e+18
0126.88 1.398860e+18
0130.22 1.405730e+18
0133.56 1.412388e+18
0136.89 1.418844e+18
0140.23 1.425108e+18
0143.57 1.431186e+18
0146.91 1.437090e+18
0150.25 1.442825e+18
0153.59 1.448401e+18
0156.93 1.453825e+18
0160.27 1.459103e+18
0163.61 1.464242e+18
0166.94 1.469250e+18
0170.28 1.474131e+18
0173.62 1.478892e+18
0176.96 1.483538e+18
0180.30 1.488075e+18
0183.64 1.492508e+18
0186.98 1.496842e+18
0190.32 1.501080e+18
0193.66 1.505229e+18
0196.99 1.509291e+18
0200.33 1.513272e+18
0203.67 1.517174e+18
0207.01 1.521002e+18
0210.35 1.524760e+18
0213.69 1.528450e+18
0217.03 1.532076e+18
0220.37 1.535641e+18
0223.71 1.539148e+18
0227.05 1.542600e+18
0230.38 1.546000e+18
0233.72 1.549350e+18
0237.06 1.552653e+18
0240.40 1.555912e+18
0243.74 1.559128e+18
0247.08 1.562304e+18
0250.42 1.565443e+18
0253.76 1.568545e+18
0257.10 1.571614e+18
