# material: nickel 
# phonon heat capacity (DFT calculation spin resolved) 
# temperature [K], heat capacity [J/(m^3K)] 
0001.67 3.473521e+01
0005.01 3.471742e+02
0008.35 1.547848e+03
0011.69 4.336332e+03
0015.03 9.711265e+03
0018.36 1.920455e+04
0021.70 3.491454e+04
0025.04 5.919001e+04
0028.38 9.409008e+04
0031.72 1.409337e+05
0035.06 2.001125e+05
0038.40 2.711460e+05
0041.74 3.528776e+05
0045.08 4.437136e+05
0048.41 5.418457e+05
0051.75 6.454274e+05
0055.09 7.526988e+05
0058.43 8.620643e+05
0061.77 9.721330e+05
0065.11 1.081732e+06
0068.45 1.189903e+06
0071.79 1.295884e+06
0075.13 1.399091e+06
0078.46 1.499090e+06
0081.80 1.595578e+06
0085.14 1.688360e+06
0088.48 1.777324e+06
0091.82 1.862431e+06
0095.16 1.943695e+06
0098.50 2.021173e+06
0101.84 2.094951e+06
0105.18 2.165141e+06
0108.51 2.231869e+06
0111.85 2.295274e+06
0115.19 2.355499e+06
0118.53 2.412691e+06
0121.87 2.466997e+06
0125.21 2.518563e+06
0128.55 2.567531e+06
0131.89 2.614040e+06
0135.23 2.658221e+06
0138.56 2.700204e+06
0141.90 2.740110e+06
0145.24 2.778054e+06
0148.58 2.814148e+06
0151.92 2.848495e+06
0155.26 2.881193e+06
0158.60 2.912336e+06
0161.94 2.942011e+06
0165.28 2.970300e+06
0168.61 2.997282e+06
0171.95 3.023028e+06
0175.29 3.047607e+06
0178.63 3.071083e+06
0181.97 3.093517e+06
0185.31 3.114966e+06
0188.65 3.135483e+06
0191.99 3.155117e+06
0195.33 3.173916e+06
0198.66 3.191924e+06
0202.00 3.209182e+06
0205.34 3.225729e+06
0208.68 3.241602e+06
0212.02 3.256835e+06
0215.36 3.271461e+06
0218.70 3.285510e+06
0222.04 3.299010e+06
0225.38 3.311990e+06
0228.71 3.324473e+06
0232.05 3.336485e+06
0235.39 3.348048e+06
0238.73 3.359183e+06
0242.07 3.369910e+06
0245.41 3.380249e+06
0248.75 3.390216e+06
0252.09 3.399831e+06
0255.43 3.409107e+06
0258.76 3.418061e+06
0262.10 3.426706e+06
0265.44 3.435058e+06
0268.78 3.443127e+06
0272.12 3.450927e+06
0275.46 3.458469e+06
0278.80 3.465764e+06
0282.14 3.472823e+06
0285.48 3.479655e+06
0288.81 3.486270e+06
0292.15 3.492676e+06
0295.49 3.498882e+06
0298.83 3.504897e+06
0302.17 3.510727e+06
0305.51 3.516381e+06
0308.85 3.521865e+06
0312.19 3.527185e+06
0315.53 3.532348e+06
0318.86 3.537361e+06
0322.20 3.542228e+06
0325.54 3.546955e+06
0328.88 3.551548e+06
0332.22 3.556011e+06
0335.56 3.560349e+06
0338.90 3.564567e+06
0342.24 3.568669e+06
0345.58 3.572659e+06
0348.91 3.576541e+06
0352.25 3.580319e+06
0355.59 3.583997e+06
0358.93 3.587578e+06
0362.27 3.591065e+06
0365.61 3.594462e+06
0368.95 3.597771e+06
0372.29 3.600996e+06
0375.63 3.604139e+06
0378.96 3.607203e+06
0382.30 3.610191e+06
0385.64 3.613106e+06
0388.98 3.615948e+06
0392.32 3.618722e+06
0395.66 3.621428e+06
0399.00 3.624070e+06
0402.34 3.626649e+06
0405.68 3.629167e+06
0409.02 3.631626e+06
0412.35 3.634028e+06
0415.69 3.636374e+06
0419.03 3.638666e+06
0422.37 3.640907e+06
0425.71 3.643097e+06
0429.05 3.645237e+06
0432.39 3.647331e+06
0435.73 3.649377e+06
0439.07 3.651379e+06
0442.40 3.653338e+06
0445.74 3.655253e+06
0449.08 3.657128e+06
0452.42 3.658963e+06
0455.76 3.660759e+06
0459.10 3.662517e+06
0462.44 3.664238e+06
0465.78 3.665923e+06
0469.12 3.667574e+06
0472.45 3.669191e+06
0475.79 3.670775e+06
0479.13 3.672327e+06
0482.47 3.673847e+06
0485.81 3.675338e+06
0489.15 3.676798e+06
0492.49 3.678230e+06
0495.83 3.679634e+06
0499.17 3.681011e+06
0502.50 3.682361e+06
0505.84 3.683685e+06
0509.18 3.684983e+06
0512.52 3.686257e+06
0515.86 3.687507e+06
0519.20 3.688734e+06
0522.54 3.689937e+06
0525.88 3.691119e+06
0529.22 3.692278e+06
0532.55 3.693417e+06
0535.89 3.694534e+06
0539.23 3.695632e+06
0542.57 3.696709e+06
0545.91 3.697768e+06
0549.25 3.698807e+06
0552.59 3.699829e+06
0555.93 3.700832e+06
0559.27 3.701818e+06
0562.60 3.702786e+06
0565.94 3.703738e+06
0569.28 3.704673e+06
0572.62 3.705593e+06
0575.96 3.706497e+06
0579.30 3.707385e+06
0582.64 3.708259e+06
0585.98 3.709118e+06
0589.32 3.709963e+06
0592.65 3.710794e+06
0595.99 3.711611e+06
0599.33 3.712415e+06
0602.67 3.713205e+06
0606.01 3.713983e+06
0609.35 3.714749e+06
0612.69 3.715502e+06
0616.03 3.716243e+06
0619.37 3.716972e+06
0622.70 3.717690e+06
0626.04 3.718397e+06
0629.38 3.719093e+06
0632.72 3.719777e+06
0636.06 3.720452e+06
0639.40 3.721115e+06
0642.74 3.721769e+06
0646.08 3.722413e+06
0649.42 3.723047e+06
0652.75 3.723671e+06
0656.09 3.724286e+06
0659.43 3.724892e+06
0662.77 3.725489e+06
0666.11 3.726077e+06
0669.45 3.726657e+06
0672.79 3.727228e+06
0676.13 3.727790e+06
0679.47 3.728345e+06
0682.80 3.728891e+06
0686.14 3.729430e+06
0689.48 3.729961e+06
0692.82 3.730484e+06
0696.16 3.731000e+06
0699.50 3.731509e+06
0702.84 3.732011e+06
0706.18 3.732505e+06
0709.52 3.732993e+06
0712.85 3.733474e+06
